Date,Department,Project,Cost Center,Manager,Budget (USD),Actual Spend (USD),Variance (USD),Performance Score,Headcount,ROI (%)
05/15/2024,Data Analytics,Data Warehouse,IT1004,Carol White,426087,205159,220928,1.8,34,0.8
02/02/2024,Data Analytics,Cloud Migration,IT1005,David Brown,95095,125699,-30604,7.8,17,0.16
10/19/2024,Data Analytics,Customer Support Portal,IT1005,Carol White,195342,439757,-244415,1.5,46,0.1
06/09/2024,Data Analytics,Cloud Migration,IT1003,Eva Green,69991,178505,-108514,5.8,12,0.98
04/14/2024,Data Analytics,Data Warehouse,IT1003,Bob Johnson,172808,156545,16263,7.8,35,0.55
04/03/2024,Data Analytics,Customer Support Portal,IT1001,David Brown,480942,410250,70692,1.5,46,0.04
06/19/2024,Data Analytics,Cloud Migration,IT1005,Eva Green,99976,460165,-360189,6.8,21,0.96
07/09/2024,Data Analytics,Upgrade Network,IT1002,Eva Green,258859,341276,-82417,3.4,23,0.64
04/24/2024,Data Analytics,Upgrade Network,IT1004,Carol White,266101,450014,-183913,9.9,26,0.9
03/04/2024,Data Analytics,Security Audit,IT1001,Bob Johnson,242029,155945,86084,4.7,39,0.22
08/05/2024,Data Analytics,Data Warehouse,IT1002,Alice Smith,377602,227655,149947,9.4,43,-0.02
01/31/2024,Data Analytics,Security Audit,IT1004,Alice Smith,369759,415309,-45550,8.8,42,0.01
02/20/2024,Data Analytics,Customer Support Portal,IT1005,David Brown,119087,72101,46986,3.5,8,0
10/22/2024,Data Analytics,Security Audit,IT1002,David Brown,324441,42775,281666,7.9,43,0.76
12/05/2024,Data Analytics,Upgrade Network,IT1001,Alice Smith,339272,480399,-141127,7.2,39,-0.1
08/30/2024,Data Analytics,Data Warehouse,IT1001,Carol White,454372,359268,95104,2.2,33,0.46
06/26/2024,Data Analytics,Customer Support Portal,IT1004,Carol White,475061,66616,408445,8.6,49,0.6
02/12/2024,Data Analytics,Cloud Migration,IT1004,Carol White,446016,462871,-16855,1.4,32,0.8
05/18/2024,Data Analytics,Develop CRM,IT1005,Alice Smith,248522,213115,35407,5.9,34,0.91
02/26/2024,Data Analytics,Upgrade Network,IT1003,Alice Smith,325194,287908,37286,1.6,48,0.48
02/08/2024,Data Analytics,Cloud Migration,IT1004,Eva Green,478276,189886,288390,3.6,2,0.34
05/31/2024,Data Analytics,Customer Support Portal,IT1002,Alice Smith,75675,399046,-323371,8.1,21,0.18
09/14/2024,Data Analytics,Cloud Migration,IT1003,Alice Smith,387369,393551,-6182,7,3,0.33
12/27/2024,Data Analytics,Data Warehouse,IT1005,David Brown,179887,85541,94346,7.6,11,0.33
03/27/2024,Data Analytics,Cloud Migration,IT1002,Eva Green,383713,190655,193058,6,22,0.43
05/16/2024,Data Analytics,Customer Support Portal,IT1004,Alice Smith,353472,193837,159635,4.1,48,0.77
02/16/2024,Data Analytics,Develop CRM,IT1005,Alice Smith,336762,407122,-70360,1.8,49,0.43
08/02/2024,Data Analytics,Data Warehouse,IT1005,Carol White,331063,337247,-6184,9.3,11,0.12
03/05/2024,Data Analytics,Customer Support Portal,IT1002,Eva Green,489030,327710,161320,1,39,0.54
07/28/2024,Data Analytics,Data Warehouse,IT1002,Alice Smith,120533,413350,-292817,3.3,9,0.23
12/30/2024,Data Analytics,Cloud Migration,IT1001,David Brown,368552,126694,241858,10,12,0.3
09/06/2024,Data Analytics,Cloud Migration,IT1005,David Brown,377031,366873,10158,7.1,9,0.42
08/19/2024,Data Analytics,Data Warehouse,IT1005,Bob Johnson,181184,454310,-273126,2.8,23,0.6
05/31/2024,Data Analytics,Develop CRM,IT1003,David Brown,298709,476252,-177543,1.9,49,0.87
12/27/2024,Data Analytics,Cloud Migration,IT1002,Carol White,343946,184972,158974,1.4,28,0.55
12/13/2024,Data Analytics,Data Warehouse,IT1002,Carol White,338193,254566,83627,7.6,24,0.99
02/09/2024,Data Analytics,Security Audit,IT1003,Eva Green,416389,377629,38760,1.5,26,0.87
11/02/2024,Data Analytics,Upgrade Network,IT1002,Carol White,260722,234472,26250,6.8,25,0.44
12/23/2024,Data Analytics,Data Warehouse,IT1005,David Brown,484383,394590,89793,9.6,23,0.12
08/10/2024,Data Analytics,Develop CRM,IT1002,Carol White,462449,109504,352945,9.2,16,0.94
03/31/2024,Data Analytics,Security Audit,IT1004,Bob Johnson,62360,356577,-294217,1.7,11,0.72
10/21/2024,Data Analytics,Upgrade Network,IT1001,Eva Green,104330,350762,-246432,6.7,24,0.42
11/09/2024,Data Analytics,Upgrade Network,IT1002,Alice Smith,304511,247605,56906,9.4,33,0.52
06/11/2024,Data Analytics,Security Audit,IT1002,Carol White,134381,477436,-343055,9.8,14,0.25
04/22/2024,Data Analytics,Data Warehouse,IT1002,Carol White,110272,154957,-44685,5,37,-0.1
09/30/2024,Data Analytics,Develop CRM,IT1001,Carol White,263808,222204,41604,4.4,17,-0.19
08/12/2024,Data Analytics,Customer Support Portal,IT1004,Eva Green,171759,233154,-61395,8.4,37,0.81
03/09/2024,Data Analytics,Develop CRM,IT1001,Alice Smith,343125,465278,-122153,4.2,5,0.41
03/17/2024,Data Analytics,Develop CRM,IT1003,David Brown,166506,225998,-59492,8.1,19,-0.01
01/08/2024,Data Analytics,Develop CRM,IT1001,Bob Johnson,128513,461604,-333091,6.4,23,0.07
07/13/2024,Data Analytics,Customer Support Portal,IT1001,Carol White,450890,161757,289133,5.9,37,0.02
10/20/2024,Data Analytics,Upgrade Network,IT1004,Eva Green,381356,336629,44727,2.7,30,0.24
09/22/2024,Data Analytics,Develop CRM,IT1003,Bob Johnson,183498,249438,-65940,1.5,27,0.81
09/20/2024,Data Analytics,Upgrade Network,IT1002,Eva Green,366462,267434,99028,6.2,19,0.43
02/10/2024,Data Analytics,Develop CRM,IT1003,Eva Green,283540,443222,-159682,1.9,15,-0.14
04/06/2024,Data Analytics,Data Warehouse,IT1004,David Brown,385932,296505,89427,1.4,43,0.02
08/04/2024,Data Analytics,Customer Support Portal,IT1002,Alice Smith,450826,372597,78229,4.4,15,0.12
11/01/2024,Data Analytics,Upgrade Network,IT1004,Bob Johnson,132409,131198,1211,1.9,17,0.75
12/29/2024,Data Analytics,Develop CRM,IT1004,Eva Green,224588,417858,-193270,6.4,15,0.16
11/28/2024,Data Analytics,Data Warehouse,IT1004,Carol White,284864,97616,187248,3.1,46,0.13
01/01/2024,Data Analytics,Develop CRM,IT1002,Alice Smith,462512,251127,211385,8.2,21,0.9
02/18/2024,Data Analytics,Security Audit,IT1005,Bob Johnson,193927,116918,77009,1.7,5,0.77
02/13/2024,Data Analytics,Customer Support Portal,IT1003,Carol White,481722,96889,384833,9.8,32,-0.08
05/14/2024,Data Analytics,Security Audit,IT1004,Eva Green,272542,266256,6286,8.2,10,0.04
04/04/2024,Data Analytics,Cloud Migration,IT1002,Eva Green,394126,410539,-16413,6.2,4,-0.06
08/06/2024,Data Analytics,Customer Support Portal,IT1003,Eva Green,341071,250938,90133,4.6,3,0.64
09/10/2024,Data Analytics,Security Audit,IT1001,Carol White,222166,191499,30667,5.7,4,0.29
08/22/2024,Data Analytics,Cloud Migration,IT1005,Eva Green,235194,41961,193233,2.2,5,0.6
04/27/2024,Data Analytics,Security Audit,IT1005,Alice Smith,79493,52497,26996,7.1,26,0.43
12/21/2024,Data Analytics,Security Audit,IT1005,Alice Smith,249886,459600,-209714,2.2,40,0.21
09/10/2024,Data Analytics,Data Warehouse,IT1005,Carol White,126709,300991,-174282,9.9,3,0.71
01/20/2024,Data Analytics,Upgrade Network,IT1004,David Brown,499920,60389,439531,7,32,0.87
03/23/2024,Data Analytics,Data Warehouse,IT1002,David Brown,325796,313720,12076,4.2,3,0.88
02/05/2024,Data Analytics,Develop CRM,IT1004,Carol White,163499,242557,-79058,6.1,43,0.18
09/01/2024,Data Analytics,Security Audit,IT1003,Eva Green,216508,218129,-1621,4.2,26,0.1
08/03/2024,Data Analytics,Security Audit,IT1003,David Brown,300819,202421,98398,6.1,7,0.33
06/08/2024,Data Analytics,Security Audit,IT1003,David Brown,389387,278483,110904,5.4,27,0.71
12/04/2024,Data Analytics,Security Audit,IT1004,Eva Green,381607,377001,4606,3.6,40,-0.04
08/06/2024,Data Analytics,Data Warehouse,IT1004,Eva Green,292998,59738,233260,7.6,35,0.83
07/17/2024,Data Analytics,Develop CRM,IT1003,Alice Smith,174116,270926,-96810,1.2,35,0.45
06/24/2024,Data Analytics,Develop CRM,IT1005,Bob Johnson,163650,117963,45687,9,21,0.06
02/21/2024,Data Analytics,Develop CRM,IT1002,Alice Smith,476070,490981,-14911,3.4,20,0.15
12/29/2024,Data Analytics,Security Audit,IT1005,Eva Green,126240,239432,-113192,2.8,24,0.49
07/30/2024,Data Analytics,Customer Support Portal,IT1002,Alice Smith,425197,326073,99124,6.3,27,0.35
08/18/2024,Data Analytics,Cloud Migration,IT1005,Bob Johnson,405566,117525,288041,5.7,42,-0.08
05/04/2024,Data Analytics,Customer Support Portal,IT1005,Eva Green,217527,105785,111742,1.2,27,0.73
11/12/2024,Data Analytics,Customer Support Portal,IT1004,Carol White,173364,94195,79169,9,13,0.79
09/13/2024,Data Analytics,Cloud Migration,IT1004,Alice Smith,64955,15901,49054,6.1,6,0.52
12/15/2024,Data Analytics,Develop CRM,IT1003,David Brown,300144,457927,-157783,9.4,6,-0.09
06/29/2024,Data Analytics,Upgrade Network,IT1001,David Brown,114925,65464,49461,10,27,0.95
06/07/2024,Data Analytics,Cloud Migration,IT1002,Eva Green,353602,337584,16018,1.4,14,0.92
02/26/2024,Data Analytics,Develop CRM,IT1001,Alice Smith,434010,118484,315526,3.2,27,-0.06
11/01/2024,Data Analytics,Cloud Migration,IT1005,Eva Green,228933,320453,-91520,3.8,40,0.37
05/02/2024,Data Analytics,Upgrade Network,IT1001,David Brown,65534,386999,-321465,4.5,25,0.34
04/10/2024,Data Analytics,Upgrade Network,IT1004,David Brown,284473,438377,-153904,5.5,11,-0.01
10/20/2024,Data Analytics,Cloud Migration,IT1001,David Brown,193279,329140,-135861,9.2,36,0.84
08/07/2024,Data Analytics,Data Warehouse,IT1005,Alice Smith,246846,400184,-153338,4.3,15,0.56
12/08/2024,Data Analytics,Upgrade Network,IT1004,Bob Johnson,143500,102669,40831,4.4,26,0.99
06/28/2024,Data Analytics,Customer Support Portal,IT1003,Bob Johnson,87158,270539,-183381,1.6,22,0.23
04/12/2024,Data Analytics,Security Audit,IT1003,Eva Green,431783,486459,-54676,2,11,0.4
10/03/2024,Data Analytics,Develop CRM,IT1003,David Brown,295017,256150,38867,3.2,10,0.18
12/30/2024,Data Analytics,Customer Support Portal,IT1004,Alice Smith,180841,389294,-208453,8.7,35,0.82
11/25/2024,Data Analytics,Cloud Migration,IT1001,Carol White,327954,347820,-19866,7.9,36,0.79
02/18/2024,Data Analytics,Data Warehouse,IT1001,Eva Green,377192,335783,41409,3.8,10,-0.13
09/20/2024,Data Analytics,Security Audit,IT1002,David Brown,213202,232934,-19732,2.2,4,0.36
05/24/2024,Data Analytics,Develop CRM,IT1005,Alice Smith,452575,388711,63864,3.8,29,0.73
03/02/2024,Data Analytics,Upgrade Network,IT1004,David Brown,441192,262820,178372,8.7,30,-0.14
12/02/2024,Data Analytics,Upgrade Network,IT1002,Carol White,286187,328030,-41843,2.2,19,-0.18
01/16/2024,Data Analytics,Cloud Migration,IT1001,Eva Green,371335,331576,39759,7.1,42,-0.04
07/05/2024,Data Analytics,Security Audit,IT1002,David Brown,339192,307598,31594,5.3,25,0.42
05/15/2024,Data Analytics,Develop CRM,IT1004,Eva Green,323820,445887,-122067,2.7,30,0.06
01/12/2024,Data Analytics,Data Warehouse,IT1002,David Brown,87405,392064,-304659,8.5,11,0.24
02/14/2024,Data Analytics,Data Warehouse,IT1005,Alice Smith,347016,498069,-151053,7,33,0.54
09/14/2024,Data Analytics,Security Audit,IT1004,Alice Smith,183653,193117,-9464,9,41,0.89
06/23/2024,Data Analytics,Customer Support Portal,IT1002,Eva Green,105480,231084,-125604,6.7,15,0.52
06/07/2024,Data Analytics,Upgrade Network,IT1003,Eva Green,218017,139319,78698,5.9,24,0.13
04/11/2024,Data Analytics,Develop CRM,IT1003,David Brown,402245,184341,217904,4.1,28,0.89
01/01/2024,Data Analytics,Customer Support Portal,IT1003,Bob Johnson,52382,119593,-67211,5.7,43,0.95
09/11/2024,Data Analytics,Cloud Migration,IT1005,Carol White,492899,162672,330227,5,7,-0.11
08/05/2024,Data Analytics,Security Audit,IT1004,David Brown,226348,449158,-222810,8.9,45,0.44
11/14/2024,Data Analytics,Develop CRM,IT1005,David Brown,470162,324697,145465,5.6,29,0.27
08/02/2024,Data Analytics,Data Warehouse,IT1001,Alice Smith,293381,188441,104940,3.2,41,0.95
04/23/2024,Data Analytics,Security Audit,IT1002,David Brown,159162,125693,33469,5.1,10,0.72
10/04/2024,Data Analytics,Upgrade Network,IT1002,Carol White,181742,398302,-216560,2.8,31,0.88
08/07/2024,Data Analytics,Customer Support Portal,IT1003,Bob Johnson,245784,151023,94761,7.5,28,0.04
12/13/2024,Data Analytics,Upgrade Network,IT1002,Carol White,389443,365146,24297,7.5,22,0.38
02/09/2024,Data Analytics,Develop CRM,IT1002,Bob Johnson,487602,209024,278578,1.3,21,0.97
09/25/2024,Data Analytics,Security Audit,IT1005,Alice Smith,432162,208735,223427,3.1,21,0.06
09/12/2024,Data Analytics,Data Warehouse,IT1005,Bob Johnson,484219,162019,322200,1.5,26,0.15
01/15/2024,Data Analytics,Customer Support Portal,IT1004,Alice Smith,398742,219001,179741,4.5,27,0.89
09/14/2024,Data Analytics,Data Warehouse,IT1001,Alice Smith,173099,160863,12236,7.1,34,-0.14
05/16/2024,Data Analytics,Upgrade Network,IT1004,Carol White,297572,430015,-132443,9.9,26,0.64
10/25/2024,Data Analytics,Upgrade Network,IT1002,Alice Smith,393615,175899,217716,5.3,36,0.57
01/04/2024,Data Analytics,Cloud Migration,IT1003,Carol White,430477,416671,13806,1.9,14,0.18
10/30/2024,Data Analytics,Data Warehouse,IT1005,Eva Green,344965,453639,-108674,4,41,-0.14
09/29/2024,Data Analytics,Develop CRM,IT1001,Alice Smith,345866,458524,-112658,1.6,13,-0.18
04/16/2024,Data Analytics,Customer Support Portal,IT1003,Carol White,484825,469559,15266,4.8,40,-0.19
08/13/2024,Data Analytics,Cloud Migration,IT1001,David Brown,486523,98219,388304,4.4,26,0.78
06/08/2024,Data Analytics,Cloud Migration,IT1001,Carol White,333983,204841,129142,5.4,25,0.61
04/06/2024,Data Analytics,Upgrade Network,IT1001,Bob Johnson,339360,291004,48356,4,49,0.64
02/16/2024,Data Analytics,Cloud Migration,IT1004,David Brown,365097,297336,67761,2,48,0.95
04/07/2024,Data Analytics,Develop CRM,IT1004,Bob Johnson,99522,226495,-126973,9.6,45,0.44
02/29/2024,Data Analytics,Data Warehouse,IT1002,Carol White,474671,229073,245598,2.5,33,-0.05
09/27/2024,Data Analytics,Data Warehouse,IT1002,David Brown,152638,209707,-57069,9.2,42,0.52
04/02/2024,Data Analytics,Customer Support Portal,IT1003,David Brown,234514,231249,3265,2.7,11,-0.13
01/03/2024,Data Analytics,Data Warehouse,IT1001,Bob Johnson,355539,402817,-47278,4.4,18,0.09
08/26/2024,Data Analytics,Cloud Migration,IT1004,Eva Green,492361,499668,-7307,3.8,21,0.89
09/26/2024,Data Analytics,Security Audit,IT1002,Bob Johnson,463540,442633,20907,5.5,31,0.21
10/28/2024,Data Analytics,Upgrade Network,IT1005,Carol White,459319,385280,74039,6.6,11,0.75
07/29/2024,Data Analytics,Upgrade Network,IT1004,Eva Green,148046,272579,-124533,2.7,25,0.52
10/19/2024,Data Analytics,Upgrade Network,IT1004,Carol White,393303,94786,298517,4,8,0.5
02/03/2024,Data Analytics,Security Audit,IT1003,Eva Green,267980,385339,-117359,4.2,17,0.8
01/14/2024,Data Analytics,Develop CRM,IT1003,Alice Smith,347647,280909,66738,6.4,13,0.34
11/14/2024,Data Analytics,Cloud Migration,IT1001,Eva Green,375488,348479,27009,2.6,10,0.92
09/25/2024,Data Analytics,Customer Support Portal,IT1003,Alice Smith,423747,379997,43750,9,39,0.39
09/30/2024,Data Analytics,Upgrade Network,IT1001,Eva Green,75525,153052,-77527,7.2,40,0.88
04/07/2024,Data Analytics,Customer Support Portal,IT1005,David Brown,129818,472551,-342733,3.8,34,0.89
07/08/2024,Data Analytics,Data Warehouse,IT1005,Eva Green,243839,384825,-140986,4.5,46,0.73
09/03/2024,Data Analytics,Security Audit,IT1002,David Brown,413298,468697,-55399,2.3,48,0.52
12/25/2024,Data Analytics,Data Warehouse,IT1001,Eva Green,355613,201081,154532,9.2,27,-0.01
12/18/2024,Data Analytics,Upgrade Network,IT1001,David Brown,467209,263279,203930,7.7,33,0.56
02/04/2024,Data Analytics,Customer Support Portal,IT1002,Carol White,387468,338844,48624,4.3,26,0.58
01/30/2024,Data Analytics,Upgrade Network,IT1003,Carol White,351994,79169,272825,1.4,10,-0.05
12/26/2024,Data Analytics,Upgrade Network,IT1004,Eva Green,434708,393039,41669,9.7,29,0.04
05/31/2024,Data Analytics,Cloud Migration,IT1004,Eva Green,408133,349509,58624,4.9,24,0.66
10/09/2024,Data Analytics,Customer Support Portal,IT1001,Alice Smith,275162,399675,-124513,8.2,38,-0.12
11/08/2024,Data Analytics,Develop CRM,IT1003,Carol White,443786,175758,268028,7.7,39,0.19
11/12/2024,Data Analytics,Security Audit,IT1004,Carol White,376719,469806,-93087,9.7,30,0.69
11/04/2024,Data Analytics,Customer Support Portal,IT1003,David Brown,179744,203456,-23712,2.1,45,0.66
01/19/2024,Data Analytics,Customer Support Portal,IT1004,Carol White,264127,143119,121008,8.6,40,0.95
07/20/2024,Data Analytics,Upgrade Network,IT1005,Bob Johnson,386246,451595,-65349,2.4,22,0.12
05/02/2024,Data Analytics,Develop CRM,IT1005,Alice Smith,427038,480670,-53632,7.6,16,0.35
10/04/2024,Infrastructure,Cloud Migration,IT1004,Alice Smith,304205,276663,27542,1.3,3,0.18
05/20/2024,Infrastructure,Cloud Migration,IT1005,Eva Green,315976,63559,252417,9,17,0.76
09/13/2024,Infrastructure,Upgrade Network,IT1004,David Brown,271883,494103,-222220,9.1,26,0.75
10/16/2024,Infrastructure,Security Audit,IT1002,David Brown,465534,255558,209976,4.2,39,0.05
12/26/2024,Infrastructure,Customer Support Portal,IT1002,David Brown,201538,437415,-235877,2.4,16,0.58
12/05/2024,Infrastructure,Cloud Migration,IT1002,Eva Green,372286,128151,244135,8.1,38,0.11
06/14/2024,Infrastructure,Customer Support Portal,IT1002,Carol White,101001,477602,-376601,5.2,40,-0.05
10/05/2024,Infrastructure,Develop CRM,IT1005,David Brown,267583,180148,87435,6,19,0.03
07/04/2024,Infrastructure,Upgrade Network,IT1003,Eva Green,255776,475651,-219875,6.2,28,0.71
02/12/2024,Infrastructure,Customer Support Portal,IT1005,Carol White,269571,429054,-159483,6.6,24,0.01
11/03/2024,Infrastructure,Cloud Migration,IT1001,Alice Smith,192180,105149,87031,6.5,27,0.54
06/06/2024,Infrastructure,Security Audit,IT1001,Carol White,309904,261767,48137,7.6,20,0.06
05/19/2024,Infrastructure,Data Warehouse,IT1003,Carol White,485928,225639,260289,4.1,10,-0.06
04/02/2024,Infrastructure,Data Warehouse,IT1005,Bob Johnson,445826,208171,237655,5.3,30,0.82
02/22/2024,Infrastructure,Data Warehouse,IT1005,David Brown,127603,196903,-69300,9.4,40,-0.01
09/08/2024,Infrastructure,Develop CRM,IT1001,Carol White,434193,417023,17170,1.7,12,0.98
05/30/2024,Infrastructure,Upgrade Network,IT1004,Alice Smith,450479,401309,49170,6.7,12,0.57
01/22/2024,Infrastructure,Cloud Migration,IT1002,Carol White,403262,493323,-90061,7,32,0.51
01/25/2024,Infrastructure,Data Warehouse,IT1005,Carol White,63689,243347,-179658,1.5,47,0.11
04/04/2024,Infrastructure,Upgrade Network,IT1005,David Brown,151968,268495,-116527,6.1,37,0.03
06/03/2024,Infrastructure,Security Audit,IT1001,David Brown,218197,487599,-269402,2.3,29,0.32
07/25/2024,Infrastructure,Develop CRM,IT1005,Alice Smith,353664,55735,297929,9.1,39,0.94
03/19/2024,Infrastructure,Cloud Migration,IT1001,Eva Green,347142,260534,86608,3.7,45,-0.1
12/12/2024,Infrastructure,Upgrade Network,IT1004,Carol White,397235,312836,84399,6.3,39,0.73
06/15/2024,Infrastructure,Customer Support Portal,IT1001,David Brown,209034,486440,-277406,4.2,27,0.45
08/21/2024,Infrastructure,Develop CRM,IT1002,David Brown,379535,356363,23172,3.2,44,0.69
05/11/2024,Infrastructure,Security Audit,IT1002,Alice Smith,457010,113616,343394,3.8,3,0.03
04/25/2024,Infrastructure,Data Warehouse,IT1002,Carol White,370146,127438,242708,1.9,28,0.35
01/22/2024,Infrastructure,Customer Support Portal,IT1001,Bob Johnson,347675,156841,190834,2.6,39,0.14
12/05/2024,Infrastructure,Develop CRM,IT1001,Eva Green,344442,292734,51708,5.8,47,0.58
03/21/2024,Infrastructure,Develop CRM,IT1005,Alice Smith,250339,227068,23271,6.2,9,-0.11
09/07/2024,Infrastructure,Develop CRM,IT1004,David Brown,77798,469271,-391473,4.6,39,0.65
02/14/2024,Infrastructure,Develop CRM,IT1004,David Brown,69477,411594,-342117,3.8,22,-0.16
07/09/2024,Infrastructure,Customer Support Portal,IT1003,Carol White,439570,105982,333588,7.3,49,0.93
08/29/2024,Infrastructure,Customer Support Portal,IT1003,Alice Smith,336479,154091,182388,8.9,16,-0.12
04/27/2024,Infrastructure,Data Warehouse,IT1001,Bob Johnson,398754,400834,-2080,7.6,27,0.09
01/14/2024,Infrastructure,Security Audit,IT1004,David Brown,156464,263295,-106831,8.6,38,0.8
10/24/2024,Infrastructure,Cloud Migration,IT1001,Alice Smith,137051,180246,-43195,2.1,8,0.21
07/29/2024,Infrastructure,Upgrade Network,IT1001,Alice Smith,200653,84739,115914,9.7,24,0.92
12/20/2024,Infrastructure,Security Audit,IT1001,Eva Green,109722,496200,-386478,5.3,41,0.05
01/02/2024,Infrastructure,Cloud Migration,IT1002,Alice Smith,331696,163728,167968,6.3,39,0.52
06/02/2024,Infrastructure,Customer Support Portal,IT1002,Eva Green,191880,450784,-258904,5.9,32,0.44
11/17/2024,Infrastructure,Customer Support Portal,IT1004,Alice Smith,302100,378227,-76127,8.3,29,0.7
12/08/2024,Infrastructure,Develop CRM,IT1004,Alice Smith,446981,305406,141575,6,37,0.62
11/26/2024,Infrastructure,Security Audit,IT1003,Eva Green,429270,369125,60145,4.2,42,0.86
06/06/2024,Infrastructure,Cloud Migration,IT1005,Eva Green,154092,205286,-51194,6.3,19,0.9
07/23/2024,Infrastructure,Data Warehouse,IT1004,David Brown,279577,391479,-111902,9.7,24,0.71
11/29/2024,Infrastructure,Upgrade Network,IT1004,Alice Smith,453777,283896,169881,1.6,13,0.99
12/18/2024,Infrastructure,Cloud Migration,IT1004,David Brown,145556,51874,93682,2.5,21,0.11
08/20/2024,Infrastructure,Develop CRM,IT1003,Bob Johnson,375019,264137,110882,6.9,40,0.32
07/29/2024,Infrastructure,Upgrade Network,IT1004,Bob Johnson,430634,160606,270028,4.7,2,0.93
03/04/2024,Infrastructure,Cloud Migration,IT1003,David Brown,340374,52100,288274,5,42,0.73
11/25/2024,Infrastructure,Customer Support Portal,IT1002,David Brown,95833,498211,-402378,1.6,4,0.46
08/05/2024,Infrastructure,Security Audit,IT1004,Alice Smith,246375,224196,22179,5.3,46,0.67
01/01/2024,Infrastructure,Security Audit,IT1004,Alice Smith,126361,197609,-71248,6.4,27,-0.16
08/31/2024,Infrastructure,Data Warehouse,IT1003,Eva Green,144876,174844,-29968,2.5,25,0.46
12/13/2024,Infrastructure,Security Audit,IT1004,Bob Johnson,262954,255129,7825,1.5,17,0.32
01/15/2024,Infrastructure,Cloud Migration,IT1005,Alice Smith,197265,295077,-97812,5.9,35,0.22
03/06/2024,Infrastructure,Upgrade Network,IT1001,David Brown,180356,297680,-117324,6.1,2,0.62
07/16/2024,Infrastructure,Develop CRM,IT1002,Alice Smith,423216,111386,311830,9.5,12,0.59
10/16/2024,Infrastructure,Security Audit,IT1002,David Brown,144767,357894,-213127,6.3,35,0.58
09/10/2024,Infrastructure,Develop CRM,IT1004,Carol White,226872,326199,-99327,1.7,42,0.66
11/01/2024,Infrastructure,Data Warehouse,IT1001,Eva Green,79084,459690,-380606,3.5,4,-0.05
04/23/2024,Infrastructure,Upgrade Network,IT1003,Alice Smith,90387,437244,-346857,9.5,13,0.51
01/08/2024,Infrastructure,Customer Support Portal,IT1005,David Brown,367420,351793,15627,8.3,36,0.07
04/27/2024,Infrastructure,Cloud Migration,IT1003,Alice Smith,243984,479709,-235725,2.2,31,0.04
07/09/2024,Infrastructure,Security Audit,IT1003,Alice Smith,156121,430980,-274859,4.4,23,0.9
08/04/2024,Infrastructure,Data Warehouse,IT1004,Bob Johnson,126872,171871,-44999,2.9,25,0.83
01/25/2024,Infrastructure,Security Audit,IT1001,Bob Johnson,132289,484955,-352666,6.7,42,0.98
01/16/2024,Infrastructure,Security Audit,IT1004,David Brown,463090,349718,113372,4.7,3,0.05
