Date,Department,Project,Cost Center,Manager,Budget (USD),Actual Spend (USD),Variance (USD),Performance Score,Headcount,ROI (%)
08/14/2024,Network,Develop CRM,IT1003,Alice Smith,265250,218296,46954,5.2,9,0.51
04/11/2024,Network,Customer Support Portal,IT1003,Bob Johnson,61094,298009,-236915,3,21,0.8
01/13/2024,Network,Upgrade Network,IT1004,Eva Green,317885,312554,5331,4.8,20,0.87
10/31/2024,Network,Cloud Migration,IT1005,Bob Johnson,428170,226098,202072,5.4,44,0.54
12/17/2024,Network,Develop CRM,IT1005,Alice Smith,216667,326058,-109391,7.9,40,0.09
08/31/2024,Network,Develop CRM,IT1002,Bob Johnson,129768,146078,-16310,8.1,16,0.03
09/21/2024,Network,Security Audit,IT1001,Bob Johnson,375329,176949,198380,7.1,45,0.44
05/17/2024,Network,Upgrade Network,IT1002,Alice Smith,228646,497353,-268707,7.7,21,0.29
11/03/2024,Network,Customer Support Portal,IT1001,Bob Johnson,89104,401659,-312555,4.8,19,0.6
12/09/2024,Network,Develop CRM,IT1005,Eva Green,422828,60855,361973,2.9,13,0.7
04/19/2024,Network,Data Warehouse,IT1001,David Brown,324336,92003,232333,6,26,0.87
10/10/2024,Security,Cloud Migration,IT1005,Alice Smith,421994,368821,53173,2.9,41,-0.01
03/18/2024,Security,Security Audit,IT1004,Eva Green,327667,239298,88369,5,4,0.11
01/13/2024,Security,Cloud Migration,IT1002,Eva Green,112433,488843,-376410,4,6,0.39
12/25/2024,Security,Cloud Migration,IT1002,Eva Green,490284,436471,53813,4.6,27,0.29
01/08/2024,Security,Security Audit,IT1001,David Brown,397139,142412,254727,6.1,11,-0.03
10/19/2024,Security,Develop CRM,IT1004,Eva Green,261509,341193,-79684,3.7,13,0.16
01/03/2024,Security,Security Audit,IT1004,Alice Smith,346292,388237,-41945,3.1,8,-0.04
07/20/2024,Security,Develop CRM,IT1004,Carol White,238799,65517,173282,4.6,28,-0.01
11/21/2024,Security,Customer Support Portal,IT1004,Alice Smith,387859,466111,-78252,7,3,-0.11
03/01/2024,Security,Customer Support Portal,IT1002,Bob Johnson,161435,474282,-312847,1.7,21,0.28
02/04/2024,Security,Develop CRM,IT1005,Alice Smith,459805,417214,42591,7.2,49,0.76
11/20/2024,Security,Security Audit,IT1005,Carol White,322872,313943,8929,5.2,4,0.81
07/15/2024,Security,Cloud Migration,IT1001,Carol White,407246,392365,14881,1.1,30,0.4
03/31/2024,Security,Cloud Migration,IT1004,David Brown,332727,327623,5104,3.3,34,-0.08
01/22/2024,Security,Customer Support Portal,IT1004,Alice Smith,135774,429388,-293614,1.3,39,0.16
05/12/2024,Security,Data Warehouse,IT1003,Bob Johnson,438518,95863,342655,4.8,28,0.22
01/10/2024,Security,Upgrade Network,IT1005,Carol White,116216,296969,-180753,1.8,19,0.71
05/26/2024,Security,Data Warehouse,IT1005,David Brown,71644,296398,-224754,9.3,36,0.48
08/15/2024,Security,Security Audit,IT1001,Carol White,112021,290369,-178348,4.7,32,0.84
09/22/2024,Security,Cloud Migration,IT1003,Eva Green,92291,264597,-172306,7.4,40,0.96
08/06/2024,Security,Security Audit,IT1004,Alice Smith,479392,117694,361698,7.3,44,0.27
02/26/2024,Security,Customer Support Portal,IT1002,Carol White,142268,379150,-236882,9.5,19,0.22
10/19/2024,Security,Upgrade Network,IT1002,David Brown,356958,406957,-49999,6.7,35,0.38
05/15/2024,Security,Cloud Migration,IT1002,Eva Green,251554,230359,21195,2.2,7,0.23
05/15/2024,Security,Security Audit,IT1005,Carol White,316317,250747,65570,6.8,6,0.13
04/30/2024,Security,Develop CRM,IT1002,Bob Johnson,421513,217597,203916,1.9,47,0.92
09/07/2024,Security,Security Audit,IT1005,Bob Johnson,411447,335599,75848,4.4,32,0.45
10/05/2024,Security,Security Audit,IT1001,David Brown,233887,180558,53329,9.9,27,0.1
10/21/2024,Security,Cloud Migration,IT1005,Eva Green,171950,296000,-124050,8.3,9,0.13
06/25/2024,Security,Customer Support Portal,IT1003,David Brown,175355,483960,-308605,3.8,8,0.52
04/20/2024,Security,Upgrade Network,IT1003,Eva Green,460482,276500,183982,2.2,21,0.48
08/20/2024,Security,Security Audit,IT1005,Bob Johnson,439959,316175,123784,6.2,32,0.45
01/30/2024,Security,Cloud Migration,IT1003,Carol White,384971,325713,59258,6.6,46,0.4
09/27/2024,Security,Cloud Migration,IT1001,Eva Green,295300,72954,222346,2,42,0.89
04/13/2024,Security,Cloud Migration,IT1001,Eva Green,285419,318932,-33513,3.1,15,-0.17
09/06/2024,Security,Upgrade Network,IT1002,Eva Green,131938,384846,-252908,6.5,44,-0.09
12/04/2024,Security,Develop CRM,IT1001,Eva Green,267813,272933,-5120,9.1,29,0.3
08/28/2024,Security,Upgrade Network,IT1002,Alice Smith,358307,463573,-105266,7.3,43,0.83
08/26/2024,Security,Develop CRM,IT1005,Carol White,488486,425243,63243,1.2,47,0.85
03/14/2024,Security,Develop CRM,IT1005,Carol White,172332,94722,77610,7.9,10,0.19
11/27/2024,Security,Security Audit,IT1004,Eva Green,139116,413148,-274032,7.1,24,0.93
10/22/2024,Security,Customer Support Portal,IT1003,Alice Smith,367777,157473,210304,7.8,43,0.22
10/23/2024,Security,Security Audit,IT1005,Carol White,300216,260741,39475,4.7,4,0.28
04/05/2024,Security,Cloud Migration,IT1005,David Brown,144776,381775,-236999,9.4,7,0.04
07/18/2024,Security,Data Warehouse,IT1003,Eva Green,460117,196877,263240,4.1,23,0.36
09/08/2024,Security,Upgrade Network,IT1002,Eva Green,422185,374923,47262,4.6,2,0.12
12/17/2024,Security,Cloud Migration,IT1002,David Brown,416081,331581,84500,2.4,45,-0.17
01/28/2024,Security,Security Audit,IT1004,David Brown,400373,429891,-29518,6.2,14,0.51
03/03/2024,Security,Cloud Migration,IT1001,Bob Johnson,185189,141014,44175,4.6,2,0.45
04/10/2024,Security,Cloud Migration,IT1004,Carol White,140265,273006,-132741,4,25,0.96
04/15/2024,Security,Cloud Migration,IT1005,Bob Johnson,465763,313022,152741,2.9,37,1
04/18/2024,Security,Develop CRM,IT1002,Bob Johnson,282930,132876,150054,4.1,17,0.29
12/02/2024,Security,Customer Support Portal,IT1002,Alice Smith,342253,468115,-125862,1.7,12,0.12
03/26/2024,Security,Data Warehouse,IT1004,Carol White,53849,93751,-39902,6.4,14,0.92
06/23/2024,Security,Develop CRM,IT1005,Eva Green,330833,237742,93091,8.1,40,0.43
05/18/2024,Security,Security Audit,IT1002,Alice Smith,52642,366036,-313394,8.9,27,0.55
06/17/2024,Security,Security Audit,IT1001,David Brown,354281,474848,-120567,9.7,34,-0.19
10/11/2024,Security,Customer Support Portal,IT1001,Eva Green,437988,270097,167891,7.1,5,0.16
06/11/2024,Security,Security Audit,IT1005,David Brown,313957,457856,-143899,8.3,37,0.06
12/18/2024,Security,Cloud Migration,IT1001,David Brown,405171,435725,-30554,9.6,33,0.96
08/26/2024,Security,Develop CRM,IT1001,Alice Smith,303091,347546,-44455,1.5,20,-0.1
12/01/2024,Security,Data Warehouse,IT1004,David Brown,314064,316237,-2173,9.1,6,0.73
05/24/2024,Security,Data Warehouse,IT1003,Carol White,382965,334067,48898,6,19,0.81
12/07/2024,Security,Data Warehouse,IT1004,Carol White,362660,93664,268996,6.4,45,-0.12
11/20/2024,Security,Customer Support Portal,IT1002,David Brown,180970,458011,-277041,7.9,18,0.88
12/16/2024,Security,Upgrade Network,IT1002,Eva Green,54138,288783,-234645,2.5,38,0.87
11/24/2024,Security,Upgrade Network,IT1002,David Brown,244028,129037,114991,4.6,34,0.96
08/17/2024,Security,Data Warehouse,IT1005,Bob Johnson,375087,332107,42980,1.6,20,0.33
03/18/2024,Security,Security Audit,IT1001,Eva Green,110128,56061,54067,6,13,0.71
06/22/2024,Security,Customer Support Portal,IT1002,Eva Green,136346,458535,-322189,2.1,46,0.26
12/11/2024,Security,Data Warehouse,IT1002,David Brown,166214,473236,-307022,9.9,37,0.86
08/04/2024,Security,Customer Support Portal,IT1003,Eva Green,422461,325810,96651,4,45,-0.14
05/21/2024,Security,Customer Support Portal,IT1002,Carol White,398808,362673,36135,5.3,39,0.52
01/15/2024,Security,Security Audit,IT1001,Alice Smith,113610,296901,-183291,3.2,9,0.92
11/25/2024,Security,Data Warehouse,IT1003,David Brown,157237,198547,-41310,8.5,35,0.84
04/04/2024,Security,Develop CRM,IT1002,Bob Johnson,188368,246446,-58078,2.4,45,0.89
07/24/2024,Security,Develop CRM,IT1004,Carol White,63261,125639,-62378,9.2,10,0.34
10/13/2024,Security,Upgrade Network,IT1003,Carol White,176270,321927,-145657,3.6,37,0.77
07/26/2024,Security,Upgrade Network,IT1005,Carol White,112061,182971,-70910,5.2,41,0.59
09/28/2024,Security,Security Audit,IT1002,David Brown,396918,317785,79133,4.7,31,0.63
10/12/2024,Security,Develop CRM,IT1003,Carol White,181208,330401,-149193,8.8,48,-0.11
04/18/2024,Security,Upgrade Network,IT1004,Carol White,67413,226371,-158958,6.2,10,0.75
11/21/2024,Security,Cloud Migration,IT1005,Alice Smith,396658,161987,234671,8.3,26,0.76
05/15/2024,Security,Upgrade Network,IT1005,Alice Smith,273492,46511,226981,6.1,16,0.23
08/13/2024,Security,Security Audit,IT1002,Alice Smith,56968,149892,-92924,4.8,28,0.78
03/20/2024,Security,Security Audit,IT1005,Carol White,364069,412739,-48670,1.7,43,0.45
11/05/2024,Security,Security Audit,IT1004,Eva Green,213187,434709,-221522,6.8,48,-0.09
12/30/2024,Security,Data Warehouse,IT1002,Bob Johnson,484821,498878,-14057,5.1,9,0.31
03/03/2024,Security,Security Audit,IT1002,Bob Johnson,202185,357727,-155542,9.1,34,-0.01
06/11/2024,Security,Develop CRM,IT1001,Carol White,356083,376350,-20267,3,24,0.93
01/17/2024,Security,Data Warehouse,IT1002,Eva Green,361442,246486,114956,2.9,27,0.62
10/13/2024,Security,Develop CRM,IT1001,Bob Johnson,397424,95798,301626,2.2,19,0.8
07/30/2024,Security,Cloud Migration,IT1004,Bob Johnson,86320,125370,-39050,7,28,0.49
02/25/2024,Security,Upgrade Network,IT1005,Carol White,281324,417700,-136376,4.8,30,0.14
06/29/2024,Security,Customer Support Portal,IT1003,Carol White,356081,494677,-138596,2.8,40,0.19
08/24/2024,Security,Upgrade Network,IT1004,Alice Smith,214044,282410,-68366,7.8,23,0
04/24/2024,Security,Upgrade Network,IT1003,Bob Johnson,120463,42866,77597,9.6,41,0.34
01/16/2024,Security,Cloud Migration,IT1001,Alice Smith,242816,412847,-170031,8.7,35,0.46
12/13/2024,Security,Security Audit,IT1001,Carol White,448342,161724,286618,2.3,39,0.16
10/15/2024,Security,Cloud Migration,IT1002,Alice Smith,211081,102901,108180,7.2,4,0.28
10/05/2024,Security,Security Audit,IT1003,Bob Johnson,191727,491323,-299596,7.8,6,0.31
02/11/2024,Security,Security Audit,IT1002,Bob Johnson,101831,206896,-105065,7.7,14,0.37
12/13/2024,Security,Security Audit,IT1005,Alice Smith,50717,467164,-416447,5.9,47,0.04
05/09/2024,Security,Develop CRM,IT1005,Carol White,168696,206750,-38054,6.4,16,0.92
09/24/2024,Security,Security Audit,IT1001,Bob Johnson,316378,295989,20389,8.5,42,0.9
01/22/2024,Security,Cloud Migration,IT1001,Eva Green,356093,168652,187441,1.9,17,-0.01
10/16/2024,Security,Security Audit,IT1002,Eva Green,405054,351367,53687,7.1,4,0.34
04/05/2024,Security,Develop CRM,IT1002,Eva Green,129698,407582,-277884,2.2,46,0.02
03/25/2024,Security,Data Warehouse,IT1005,Eva Green,95095,60021,35074,7,13,-0.1
05/24/2024,Security,Customer Support Portal,IT1003,David Brown,442118,409349,32769,6.4,40,0.54
07/02/2024,Security,Develop CRM,IT1003,Eva Green,377069,443510,-66441,5.6,6,0.36
12/25/2024,Security,Data Warehouse,IT1001,Bob Johnson,345809,69227,276582,6.4,28,0.92
06/06/2024,Security,Customer Support Portal,IT1002,David Brown,477876,349143,128733,2.1,40,0.12
02/19/2024,Security,Develop CRM,IT1004,Eva Green,150922,182453,-31531,1.4,33,0.26
02/12/2024,Security,Data Warehouse,IT1004,David Brown,216782,140260,76522,5,4,0.92
09/03/2024,Security,Upgrade Network,IT1004,David Brown,329518,309674,19844,5.1,49,0.58
08/05/2024,Security,Security Audit,IT1001,David Brown,338213,474635,-136422,8.7,40,0.37
12/04/2024,Security,Customer Support Portal,IT1005,Bob Johnson,282892,151362,131530,4.6,32,0.77
08/09/2024,Security,Customer Support Portal,IT1004,Bob Johnson,430172,286517,143655,3.1,6,0.84
04/26/2024,Security,Customer Support Portal,IT1002,David Brown,245623,463288,-217665,3.2,21,0.07
10/12/2024,Security,Develop CRM,IT1005,Alice Smith,282654,420182,-137528,9.1,33,0.45
05/30/2024,Security,Develop CRM,IT1003,Alice Smith,423393,377353,46040,3.7,24,0.57
10/19/2024,Security,Customer Support Portal,IT1002,Eva Green,257352,187878,69474,1.6,17,0.04
04/30/2024,Security,Data Warehouse,IT1003,Bob Johnson,426588,341675,84913,9.4,30,0.81
04/10/2024,Security,Customer Support Portal,IT1002,Eva Green,247530,92227,155303,9.2,24,0.16
02/21/2024,Security,Develop CRM,IT1005,Eva Green,480917,454761,26156,2.4,18,0.91
07/06/2024,Security,Upgrade Network,IT1001,Carol White,459760,108207,351553,6.8,14,0.02
06/18/2024,Security,Cloud Migration,IT1004,Eva Green,459115,374199,84916,2.4,19,0.8
05/14/2024,Security,Security Audit,IT1005,Bob Johnson,420180,61438,358742,4.2,33,0.77
07/25/2024,Security,Upgrade Network,IT1004,Carol White,200331,98819,101512,1.4,18,0.14
01/22/2024,Security,Data Warehouse,IT1004,Alice Smith,293386,133474,159912,8,5,0.78
02/24/2024,Security,Security Audit,IT1005,Carol White,484474,365137,119337,4.4,22,0.6
12/12/2024,Security,Data Warehouse,IT1002,Eva Green,476940,152752,324188,2.2,44,0.74
12/19/2024,Security,Customer Support Portal,IT1002,Bob Johnson,114286,201194,-86908,2.8,37,0.27
10/14/2024,Security,Data Warehouse,IT1004,Bob Johnson,386986,268584,118402,3.1,49,0.58
11/15/2024,Security,Develop CRM,IT1005,Bob Johnson,327052,172886,154166,6.8,33,0.92
08/14/2024,Security,Cloud Migration,IT1003,Carol White,340446,249988,90458,2.8,21,0.38
11/29/2024,Security,Cloud Migration,IT1002,David Brown,372959,365854,7105,5.2,26,0.85
07/26/2024,Security,Upgrade Network,IT1005,Bob Johnson,302156,287843,14313,8.2,3,0.43
09/16/2024,Security,Upgrade Network,IT1005,Bob Johnson,298724,287883,10841,7.2,21,0.76
10/08/2024,Security,Cloud Migration,IT1004,David Brown,251202,74785,176417,1.2,7,0.1
11/23/2024,Security,Customer Support Portal,IT1002,Alice Smith,225458,227281,-1823,5.9,18,0.47
02/11/2024,Security,Upgrade Network,IT1001,Alice Smith,126312,80149,46163,4,28,-0.18
07/03/2024,Security,Customer Support Portal,IT1004,Alice Smith,83340,45695,37645,8.9,27,0.63
05/16/2024,Security,Upgrade Network,IT1004,David Brown,251604,302849,-51245,4.2,12,0.11
11/13/2024,Security,Data Warehouse,IT1004,Alice Smith,160130,182994,-22864,9.2,32,-0.12
04/30/2024,Security,Customer Support Portal,IT1003,Bob Johnson,334308,367844,-33536,6.1,49,-0.17
10/20/2024,Security,Cloud Migration,IT1001,Bob Johnson,80257,41881,38376,8.3,37,0.86
07/29/2024,Security,Develop CRM,IT1001,Carol White,468829,343342,125487,9.5,32,0.42
04/11/2024,Security,Develop CRM,IT1003,Carol White,64026,406047,-342021,6.6,44,0.89
04/28/2024,Security,Customer Support Portal,IT1004,Bob Johnson,50917,368734,-317817,5.3,3,-0.01
02/08/2024,Security,Develop CRM,IT1004,Bob Johnson,453157,448768,4389,7.4,10,0.73
05/03/2024,Security,Cloud Migration,IT1003,David Brown,487651,471940,15711,3.2,29,0.72
02/16/2024,Security,Customer Support Portal,IT1001,Alice Smith,447745,351385,96360,7,12,-0.08
08/09/2024,Software Development,Cloud Migration,IT1003,Alice Smith,211980,233877,-21897,5.4,36,0.25
04/02/2024,Software Development,Customer Support Portal,IT1004,Carol White,208128,408596,-200468,2.4,4,-0.13
10/10/2024,Software Development,Customer Support Portal,IT1005,Carol White,487100,326133,160967,4.7,46,0.47
04/27/2024,Software Development,Upgrade Network,IT1005,Bob Johnson,238221,274583,-36362,7.3,42,0.05
01/20/2024,Software Development,Develop CRM,IT1004,David Brown,289241,138000,151241,4.7,40,-0.03
06/08/2024,Software Development,Upgrade Network,IT1003,David Brown,407886,361690,46196,9.9,30,-0.09
05/03/2024,Software Development,Cloud Migration,IT1003,Alice Smith,203484,412984,-209500,8.8,48,-0.14
08/20/2024,Software Development,Security Audit,IT1005,Eva Green,143526,185490,-41964,3.6,6,0.4
11/24/2024,Software Development,Data Warehouse,IT1005,David Brown,369793,213860,155933,6.6,19,0.28
01/31/2024,Software Development,Security Audit,IT1003,Alice Smith,478733,253456,225277,4.8,38,0.73
11/11/2024,Software Development,Develop CRM,IT1004,Carol White,188286,71085,117201,1.1,34,-0.07
10/12/2024,Software Development,Upgrade Network,IT1001,Alice Smith,176479,397931,-221452,1.4,39,-0.05
03/16/2024,Software Development,Upgrade Network,IT1003,Bob Johnson,314852,330912,-16060,2.9,3,0.49
07/18/2024,Software Development,Cloud Migration,IT1002,David Brown,422282,131036,291246,1.9,17,0.25
09/13/2024,Software Development,Upgrade Network,IT1003,David Brown,226118,127954,98164,2.1,6,0.81
02/17/2024,Software Development,Cloud Migration,IT1005,Carol White,245497,431441,-185944,7.1,40,0.58
11/30/2024,Software Development,Customer Support Portal,IT1001,David Brown,446489,471201,-24712,8.6,46,0.84
11/25/2024,Software Development,Security Audit,IT1004,David Brown,290341,151497,138844,3,48,0.66
07/02/2024,Software Development,Cloud Migration,IT1001,Alice Smith,118368,85619,32749,3.1,6,0.36
03/29/2024,Software Development,Upgrade Network,IT1004,Carol White,270357,334713,-64356,2.6,22,-0.12
07/19/2024,Software Development,Develop CRM,IT1002,Carol White,462672,485654,-22982,3.7,40,0.46
09/19/2024,Software Development,Upgrade Network,IT1002,David Brown,83276,466172,-382896,6.2,28,0.81
03/06/2024,Software Development,Data Warehouse,IT1003,David Brown,199359,300037,-100678,7.1,4,0.84
06/03/2024,Software Development,Security Audit,IT1002,Carol White,234384,85066,149318,1,11,0.67
01/16/2024,Software Development,Customer Support Portal,IT1005,Alice Smith,455328,271387,183941,3.4,6,0.17
04/08/2024,Software Development,Cloud Migration,IT1003,Eva Green,120305,468454,-348149,8,46,0.58
07/04/2024,Software Development,Data Warehouse,IT1002,David Brown,218636,435150,-216514,2.1,27,-0.16
10/29/2024,Software Development,Customer Support Portal,IT1005,Alice Smith,292188,498433,-206245,6.5,14,0.41
12/14/2024,Software Development,Upgrade Network,IT1002,Carol White,267400,94353,173047,6.7,9,0.9
05/07/2024,Software Development,Develop CRM,IT1005,Alice Smith,323586,46587,276999,6.6,11,0.36
02/19/2024,Software Development,Upgrade Network,IT1005,Carol White,459415,191599,267816,5,21,0
11/07/2024,Software Development,Upgrade Network,IT1003,Alice Smith,142036,233935,-91899,6.3,30,-0.15
10/27/2024,Software Development,Cloud Migration,IT1004,Carol White,278634,149373,129261,5.9,17,0.69
05/06/2024,Software Development,Upgrade Network,IT1005,Alice Smith,313031,421058,-108027,8.4,10,0.35
05/01/2024,Software Development,Data Warehouse,IT1004,David Brown,295809,332203,-36394,7.2,14,0.69
10/04/2024,Software Development,Upgrade Network,IT1004,Alice Smith,134526,432136,-297610,6.8,6,0.4
01/29/2024,Software Development,Security Audit,IT1004,David Brown,101913,482239,-380326,5.1,26,0.83
03/23/2024,Software Development,Upgrade Network,IT1005,Eva Green,236384,315437,-79053,4.4,3,0.41
02/04/2024,Software Development,Customer Support Portal,IT1002,Eva Green,206989,338546,-131557,10,25,-0.01
01/18/2024,Software Development,Data Warehouse,IT1002,Carol White,445204,433066,12138,4.2,21,0.72
07/15/2024,Software Development,Customer Support Portal,IT1005,David Brown,457472,442234,15238,8.9,18,0.67
07/21/2024,Software Development,Cloud Migration,IT1004,Alice Smith,109778,309165,-199387,6.8,48,0.47
04/28/2024,Software Development,Cloud Migration,IT1003,David Brown,294629,139214,155415,4.6,27,0.12
04/30/2024,Software Development,Security Audit,IT1004,Eva Green,440277,153936,286341,2.3,44,-0.13
08/30/2024,Software Development,Customer Support Portal,IT1002,Bob Johnson,215582,56279,159303,2.4,6,0.45
12/03/2024,Software Development,Cloud Migration,IT1001,Bob Johnson,435633,237478,198155,1.2,29,-0.04
05/30/2024,Software Development,Security Audit,IT1003,Alice Smith,140009,287698,-147689,5.7,17,0.91
05/31/2024,Software Development,Develop CRM,IT1005,Alice Smith,473159,315553,157606,7,10,-0.11
02/22/2024,Software Development,Customer Support Portal,IT1003,Bob Johnson,94816,212472,-117656,5,15,0.6
06/03/2024,Software Development,Cloud Migration,IT1002,Carol White,388089,446843,-58754,2.8,49,0.53
03/16/2024,Software Development,Cloud Migration,IT1003,Eva Green,322595,321836,759,1.5,15,0.77
07/04/2024,Software Development,Develop CRM,IT1004,Bob Johnson,406007,249912,156095,5.6,36,0.12
06/06/2024,Software Development,Security Audit,IT1004,Carol White,322422,225272,97150,5.3,40,0.39
03/21/2024,Software Development,Upgrade Network,IT1002,Carol White,271552,264135,7417,4.4,48,-0.1
02/19/2024,Software Development,Cloud Migration,IT1001,Eva Green,415567,272679,142888,6.1,17,0.5
01/12/2024,Software Development,Cloud Migration,IT1004,Bob Johnson,416142,92265,323877,8.9,5,-0.19
07/25/2024,Software Development,Cloud Migration,IT1004,Bob Johnson,269128,441442,-172314,9.6,30,0.66
10/02/2024,Software Development,Data Warehouse,IT1004,David Brown,202353,274944,-72591,2.7,36,0.95
03/14/2024,Software Development,Cloud Migration,IT1005,David Brown,455841,216469,239372,5.7,10,0.47
04/21/2024,Software Development,Develop CRM,IT1004,Alice Smith,84397,53233,31164,3.2,34,-0.19
08/27/2024,Software Development,Cloud Migration,IT1004,Eva Green,207221,317871,-110650,9.5,10,0.65
01/20/2024,Software Development,Develop CRM,IT1002,Bob Johnson,327068,409048,-81980,1.7,16,0.48
05/29/2024,Software Development,Cloud Migration,IT1001,Eva Green,163143,360608,-197465,1,7,0.86
04/07/2024,Software Development,Cloud Migration,IT1001,Carol White,409232,194455,214777,5.4,30,0.6
01/03/2024,Software Development,Upgrade Network,IT1003,Carol White,135178,118116,17062,3.5,15,0.43
03/22/2024,Software Development,Data Warehouse,IT1003,Carol White,332169,439779,-107610,8,29,-0.05
11/21/2024,Software Development,Security Audit,IT1003,Alice Smith,224499,216572,7927,4.6,6,0.1
06/29/2024,Software Development,Security Audit,IT1002,Bob Johnson,180299,171379,8920,4.7,6,-0.16
12/16/2024,Software Development,Upgrade Network,IT1002,Eva Green,55668,452111,-396443,2.6,46,0.67
11/28/2024,Software Development,Data Warehouse,IT1005,Carol White,322895,242834,80061,8.2,13,0.38
01/31/2024,Software Development,Upgrade Network,IT1001,Carol White,358362,470441,-112079,8.8,30,0.45
05/30/2024,Software Development,Customer Support Portal,IT1001,Bob Johnson,319496,65954,253542,7.2,27,0.01
01/03/2024,Software Development,Develop CRM,IT1001,Alice Smith,347986,315399,32587,8.9,24,-0.1
11/23/2024,Software Development,Customer Support Portal,IT1003,Alice Smith,361537,294488,67049,7.7,11,0.09
02/25/2024,Software Development,Customer Support Portal,IT1005,Carol White,474390,145982,328408,1.2,44,0.3
12/05/2024,Software Development,Data Warehouse,IT1002,Eva Green,62356,197849,-135493,8.2,4,0.22
03/08/2024,Software Development,Customer Support Portal,IT1005,Carol White,178128,433464,-255336,7.6,14,0.7
07/21/2024,Software Development,Data Warehouse,IT1003,Alice Smith,202297,382551,-180254,3.4,7,0.69
10/12/2024,Software Development,Develop CRM,IT1001,Alice Smith,369764,334098,35666,6.4,43,-0.04
03/26/2024,Software Development,Upgrade Network,IT1004,Alice Smith,476044,310146,165898,5.6,13,0.21
05/05/2024,Software Development,Customer Support Portal,IT1004,Carol White,469705,147524,322181,1.1,3,0.1
04/21/2024,Software Development,Data Warehouse,IT1005,Bob Johnson,291503,153776,137727,6.3,19,0.1
07/08/2024,Software Development,Customer Support Portal,IT1004,Eva Green,111753,284443,-172690,6,23,0.17
10/22/2024,Software Development,Data Warehouse,IT1005,David Brown,273861,107766,166095,9.2,12,0.59
